@RELATION testDogx
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Dog,Man,Clatter,Bang,Lownoise}

@DATA
0.066243,0.049295,3.038766,0.104202,0.131266,0.089068,0.004649,0.080244,-24.333163,-0.572384,-1.310039,2.010569,-0.235444,0.768960,0.071112,-0.157716,0.468051,-0.186677,-0.385935,0.120439,-0.108080,0.006812,0.003217,0.002951,0.002437,0.001412,0.000800,0.006243,0.003811,0.008628,0.014589,0.004476,0.008096,0.005123,0.004982,0.040691,0.311016,0.015230,0.029743,0.013324,0.002422,0.002268,1.459902,0.722006,0.262921,0.356842,0.236281,0.285416,0.182925,0.211780,0.263739,0.169221,0.160749,0.092434,0.139519,0.004201,0.002342,0.001493,0.002619,0.000988,0.000582,0.005453,0.003755,0.008853,0.011103,0.002714,0.007873,0.003186,Dog
0.055672,0.047390,3.163254,0.104173,0.141826,0.099943,0.006844,0.070508,-23.903266,0.721850,-1.279174,1.887736,0.037246,0.343760,0.266399,-0.292414,0.404116,0.143949,-0.466516,-0.023013,-0.166786,0.003208,0.003976,0.004304,0.002248,0.004175,0.000695,0.011154,0.004465,0.008240,0.028463,0.009173,0.005068,0.009555,0.007180,0.044503,0.076141,0.012738,0.023865,0.050553,0.003055,0.002984,1.564858,0.465509,0.620999,0.206054,0.381676,0.270393,0.218868,0.226062,0.223352,0.114853,0.139244,0.216892,0.155690,0.003111,0.005269,0.005785,0.002761,0.002574,0.000223,0.014431,0.005371,0.009302,0.025901,0.007411,0.005872,0.006660,Dog
0.050544,0.298709,3.118298,0.132733,0.174027,0.326948,0.004760,0.084180,-21.550866,0.971246,-0.914694,1.383094,-0.093831,-0.000029,0.153512,-0.110743,-0.057585,-0.063448,-0.025335,-0.161922,-0.262406,0.011185,0.003215,0.018557,0.010572,0.017360,0.006491,0.023696,0.004703,0.004466,0.021085,0.014534,0.004528,0.013306,0.015637,0.302853,0.194191,0.041288,0.038460,0.258055,0.002453,0.028260,2.918504,0.971851,0.401321,0.353769,0.288013,0.238206,0.188948,0.172660,0.274514,0.199731,0.200471,0.183961,0.179380,0.013457,0.002832,0.020038,0.010080,0.019580,0.004934,0.024081,0.004953,0.003801,0.018904,0.013909,0.002996,0.008351,Dog
0.056834,0.222514,3.004626,0.122142,0.159829,0.381689,0.004841,0.085669,-21.275819,1.529305,-1.389931,0.560793,-0.156935,0.042465,0.032941,-0.121087,-0.026058,-0.039274,-0.005778,-0.098614,-0.149505,0.012009,0.007462,0.014607,0.013775,0.015236,0.009679,0.014846,0.007352,0.008403,0.015433,0.015058,0.006337,0.009806,0.017172,0.207944,0.298196,0.033225,0.037041,0.279889,0.002166,0.044512,2.161568,0.656538,0.399186,0.478945,0.340820,0.383615,0.239480,0.233097,0.235549,0.184167,0.204180,0.206688,0.222522,0.009187,0.007522,0.011067,0.011474,0.010793,0.008195,0.011472,0.007534,0.006889,0.011964,0.011160,0.007940,0.003943,Dog
0.043023,0.260272,3.177879,0.094390,0.137233,0.217308,0.005986,0.064535,-20.982043,1.851731,-1.401663,0.863444,0.283459,0.199373,-0.238379,-0.275826,-0.092259,0.017080,-0.050062,-0.091577,-0.234923,0.011276,0.006647,0.012048,0.009495,0.013212,0.007419,0.023784,0.007912,0.017653,0.027325,0.027297,0.004765,0.013272,0.021073,0.242292,0.084234,0.027528,0.033275,0.283310,0.002485,0.036008,2.698732,0.799763,0.449503,0.434591,0.328357,0.263381,0.271188,0.163625,0.254506,0.150681,0.212083,0.147140,0.193404,0.006458,0.005502,0.008600,0.006562,0.009655,0.005439,0.017339,0.012021,0.010741,0.027453,0.017413,0.004156,0.005829,Dog
0.064039,0.220399,3.188534,0.131551,0.153986,0.563563,0.003657,0.116814,-23.112029,1.381093,-1.052292,0.833100,-0.191029,0.047270,0.001432,-0.155141,-0.020441,-0.195426,-0.074030,-0.059143,-0.100105,0.011358,0.004231,0.025903,0.015817,0.013610,0.008786,0.018426,0.005316,0.006862,0.015375,0.017353,0.003625,0.011174,0.019615,0.189456,0.105708,0.035488,0.029610,0.368306,0.001538,0.053192,1.658461,0.853539,0.285324,0.408320,0.269121,0.268608,0.166662,0.210476,0.179498,0.198180,0.138646,0.166923,0.160091,0.005576,0.003135,0.023031,0.010957,0.010706,0.005212,0.019053,0.002440,0.004591,0.016701,0.012933,0.001431,0.006752,Dog
0.054237,0.352899,3.182994,0.134671,0.168502,0.389938,0.004298,0.092956,-20.129520,1.012629,-1.377247,1.013130,-0.055163,-0.097879,0.081694,-0.031107,0.058978,-0.017569,0.028750,-0.097326,-0.151053,0.011853,0.006392,0.011328,0.011271,0.014638,0.009033,0.013547,0.005281,0.005029,0.013283,0.011796,0.007356,0.008386,0.010908,0.255538,0.158204,0.046366,0.042935,0.281341,0.001561,0.037534,1.689317,0.852807,0.253733,0.355079,0.274400,0.304953,0.220602,0.197818,0.188784,0.187790,0.206290,0.164547,0.211233,0.009418,0.006563,0.009479,0.010186,0.010180,0.007242,0.008887,0.003812,0.005186,0.008124,0.010370,0.005434,0.004027,Dog
0.055384,0.483935,3.221452,0.149733,0.176766,0.450831,0.004400,0.097021,-20.008874,0.361718,-1.427474,1.036954,-0.045452,-0.236950,0.145436,-0.101319,-0.060244,-0.026711,0.052055,-0.154292,-0.112243,0.007258,0.004891,0.007594,0.009092,0.010900,0.011581,0.013603,0.006888,0.005894,0.008876,0.008772,0.005105,0.007833,0.006556,0.278073,0.115175,0.050673,0.042286,0.279067,0.002405,0.036989,1.732805,0.850156,0.266920,0.326249,0.297031,0.273417,0.227536,0.211962,0.209008,0.176956,0.225730,0.184833,0.174585,0.006369,0.005033,0.006906,0.006411,0.010674,0.010578,0.012480,0.006602,0.005600,0.007929,0.008451,0.003921,0.004184,Dog
0.083512,0.174237,3.076276,0.139392,0.152884,0.687815,0.004100,0.136425,-22.585595,1.003068,-1.518032,0.589734,-0.316449,0.127441,0.246842,-0.062357,0.037387,-0.051930,-0.006082,-0.102823,-0.080224,0.006727,0.005432,0.011014,0.007919,0.012893,0.010257,0.010701,0.005939,0.008051,0.011346,0.009399,0.005490,0.007225,0.025870,0.173341,0.214177,0.033843,0.029885,0.393607,0.001756,0.057900,1.711248,0.592291,0.365488,0.462947,0.297527,0.270544,0.217268,0.216279,0.180313,0.181666,0.195172,0.167754,0.178036,0.004928,0.004312,0.008495,0.005005,0.010153,0.008365,0.007819,0.006085,0.006652,0.009747,0.006452,0.003915,0.003082,Dog
0.043189,0.425434,3.145150,0.144763,0.185722,0.387828,0.005535,0.087750,-20.161696,1.444044,-1.026019,0.474326,-0.488179,0.080986,0.190273,-0.425850,-0.188362,0.011725,-0.021193,0.026274,-0.085295,0.011524,0.002739,0.014521,0.016646,0.013417,0.010614,0.014643,0.010772,0.018398,0.015800,0.014417,0.004310,0.011903,0.012385,0.287539,0.193481,0.060302,0.051760,0.322453,0.003222,0.043701,1.992712,1.110607,0.472973,0.452983,0.315357,0.297277,0.349880,0.298491,0.188830,0.205536,0.196643,0.177445,0.196905,0.010850,0.002231,0.012512,0.016076,0.011515,0.008512,0.010122,0.014012,0.018993,0.012387,0.014321,0.003718,0.006181,Dog
